review,sentiment
"This product is absolutely amazing and works perfectly",positive
"Great quality and fast shipping highly recommend",positive
"Exceeded my expectations very happy with the purchase",positive
"Works as described good value for the price",positive
"Fantastic product will definitely buy again",positive
"Poor quality broke after one week very disappointed",negative
"Does not work as advertised complete waste of money",negative
"Terrible customer service and the product is defective",negative
"Very cheap material not worth the price at all",negative
"Awful experience would not recommend to anyone",negative
"Good product but delivery took too long",positive
"Decent quality for the price nothing special",positive
"Not bad but could be improved in some areas",positive
"Stopped working after two days very frustrating",negative
"The item was damaged on arrival very unhappy",negative
